"","modGenes","module","colourRGB"
"5468","AARA008277","brown","#A52A2A"
"5469","AARA008278","brown","#A52A2A"
"5470","AARA008279","darkorange","#FF8C00"
"5471","AARA008280","brown","#A52A2A"
"5472","AARA008281","brown","#A52A2A"
"5473","AARA008282","purple","#A020F0"
"5474","AARA008283","brown","#A52A2A"
"5475","AARA008290","salmon","#FA8072"
"5476","AARA008291","brown","#A52A2A"
"5477","AARA008292","salmon","#FA8072"
"5478","AARA008294","salmon","#FA8072"
"5479","AARA008295","greenyellow","#ADFF2F"
"5480","AARA008296","salmon","#FA8072"
"5481","AARA008297","salmon","#FA8072"
"5482","AARA008298","grey","#BEBEBE"
"5483","AARA008301","orange","#FFA500"
"5484","AARA008302","orange","#FFA500"
"5485","AARA008303","grey","#BEBEBE"
"5486","AARA008305","midnightblue","#191970"
"5487","AARA008306","salmon","#FA8072"
"5488","AARA008307","salmon","#FA8072"
"5489","AARA008312","orangered4","#8B2500"
"5490","AARA008315","grey","#BEBEBE"
"5491","AARA008316","salmon","#FA8072"
"5492","AARA008318","grey","#BEBEBE"
"5493","AARA008319","greenyellow","#ADFF2F"
"5494","AARA008324","midnightblue","#191970"
"5495","AARA008325","brown","#A52A2A"
"5496","AARA008326","brown","#A52A2A"
"5497","AARA008327","midnightblue","#191970"
"5498","AARA008328","salmon","#FA8072"
"5499","AARA008330","grey","#BEBEBE"
"5500","AARA008331","grey","#BEBEBE"
"5501","AARA008332","lightcyan1","#E0FFFF"
"5502","AARA008333","salmon","#FA8072"
"5503","AARA008338","salmon","#FA8072"
"5504","AARA008339","grey","#BEBEBE"
"5505","AARA008340","midnightblue","#191970"
"5506","AARA008341","purple","#A020F0"
"5507","AARA008342","purple","#A020F0"
"5508","AARA008343","orange","#FFA500"
"5509","AARA008346","salmon","#FA8072"
"5510","AARA008349","midnightblue","#191970"
"5511","AARA008350","salmon","#FA8072"
